duration,mean_amplitude,std_amplitude,max_amplitude,min_amplitude,rms_energy,peak_amplitude,zcr_mean,zcr_std,zcr_median,zcr_max,zcr_min,spectral_centroid_mean,spectral_centroid_std,spectral_centroid_median,spectral_centroid_max,spectral_centroid_min,spectral_rolloff_mean,spectral_rolloff_std,spectral_rolloff_median,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_bandwidth_median,spectral_flatness_mean,spectral_flatness_std,spectral_flatness_median,mfcc_1_mean,mfcc_1_std,mfcc_1_median,mfcc_1_max,mfcc_1_min,mfcc_2_mean,mfcc_2_std,mfcc_2_median,mfcc_2_max,mfcc_2_min,mfcc_3_mean,mfcc_3_std,mfcc_3_median,mfcc_3_max,mfcc_3_min,mfcc_4_mean,mfcc_4_std,mfcc_4_median,mfcc_4_max,mfcc_4_min,mfcc_5_mean,mfcc_5_std,mfcc_5_median,mfcc_5_max,mfcc_5_min,mfcc_6_mean,mfcc_6_std,mfcc_6_median,mfcc_6_max,mfcc_6_min,mfcc_7_mean,mfcc_7_std,mfcc_7_median,mfcc_7_max,mfcc_7_min,mfcc_8_mean,mfcc_8_std,mfcc_8_median,mfcc_8_max,mfcc_8_min,mfcc_9_mean,mfcc_9_std,mfcc_9_median,mfcc_9_max,mfcc_9_min,mfcc_10_mean,mfcc_10_std,mfcc_10_median,mfcc_10_max,mfcc_10_min,mfcc_11_mean,mfcc_11_std,mfcc_11_median,mfcc_11_max,mfcc_11_min,mfcc_12_mean,mfcc_12_std,mfcc_12_median,mfcc_12_max,mfcc_12_min,mfcc_13_mean,mfcc_13_std,mfcc_13_median,mfcc_13_max,mfcc_13_min,mfcc_14_mean,mfcc_14_std,mfcc_14_median,mfcc_14_max,mfcc_14_min,mfcc_15_mean,mfcc_15_std,mfcc_15_median,mfcc_15_max,mfcc_15_min,mfcc_16_mean,mfcc_16_std,mfcc_16_median,mfcc_16_max,mfcc_16_min,mfcc_17_mean,mfcc_17_std,mfcc_17_median,mfcc_17_max,mfcc_17_min,mfcc_18_mean,mfcc_18_std,mfcc_18_median,mfcc_18_max,mfcc_18_min,mfcc_19_mean,mfcc_19_std,mfcc_19_median,mfcc_19_max,mfcc_19_min,mfcc_20_mean,mfcc_20_std,mfcc_20_median,mfcc_20_max,mfcc_20_min,mfcc_delta_1_mean,mfcc_delta_1_std,mfcc_delta_2_mean,mfcc_delta_2_std,mfcc_delta_3_mean,mfcc_delta_3_std,mfcc_delta_4_mean,mfcc_delta_4_std,mfcc_delta_5_mean,mfcc_delta_5_std,chroma_mean,chroma_std,chroma_median,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,spectral_contrast_mean,spectral_contrast_std,spectral_contrast_median,spectral_contrast_band_1_mean,spectral_contrast_band_2_mean,spectral_contrast_band_3_mean,spectral_contrast_band_4_mean,spectral_contrast_band_5_mean,spectral_contrast_band_6_mean,spectral_contrast_band_7_mean,tonnetz_mean,tonnetz_std,tonnetz_median,tempo,beat_count,energy,energy_entropy,harmonic_energy,percussive_energy,harmonic_percussive_ratio,low_freq_energy,mid_freq_energy,high_freq_energy,low_freq_ratio,mid_freq_ratio,high_freq_ratio,skewness,kurtosis,filename,label
10.0,0.033587977,0.0073248143,0.06342291,0.0027826717,0.034377385,0.06342291,0.0,0.0,0.0,0.0,0.0,755.7857231056395,43.67691710205974,754.4529585204207,1408.3384422298232,661.6621232203346,1930.6939711426915,102.11220784567108,1927.2216796875,1017.7376870130001,71.20384915330247,1013.0197901034603,9.315072e-06,0.00016369311,6.94993e-08,-414.96368,6.702028,-415.39484,-319.01862,-423.08813,226.57457,7.4605513,227.02885,235.43826,117.29266,-82.4462,5.439717,-82.91361,-5.324114,-90.9751,22.193893,2.8229375,22.128113,33.444466,14.385763,35.283436,3.4990973,35.474285,44.323704,9.044192,-32.812305,4.103746,-33.215187,11.005923,-40.75772,25.81027,3.0877993,25.967562,36.759666,8.985009,13.363332,2.8658264,13.499754,22.609684,5.225402,-17.461298,3.0837011,-17.678568,2.8582163,-25.288662,22.890604,2.8281224,22.977196,30.49415,9.058618,2.6013052,2.7265055,2.4571176,11.527689,-5.7085915,-8.914684,2.8146198,-9.1625805,6.8731027,-15.535689,20.68725,2.8239648,20.56088,30.3177,9.657133,-0.984136,3.0752246,-0.95563406,8.899119,-9.225814,-1.5090822,2.815114,-1.4413469,6.2170033,-10.422592,17.608599,2.9831927,17.526066,25.421242,6.207094,-4.203765,2.7226434,-4.2057376,4.22314,-11.298688,1.4473679,2.9728572,1.4989346,8.369386,-6.646287,12.337517,2.9043436,12.254007,20.077337,4.3727565,-5.7928634,2.676429,-6.0136633,4.936633,-14.03297,-0.11702436,1.2849361,0.12284869,1.3798138,-0.071405,0.9655293,0.01464073,0.5048897,0.029114522,0.65666336,0.7594317,0.1443896,0.75600487,0.7643036,0.7422332,0.7898384,0.7834066,0.7591274,0.7539849,0.73803157,0.73791194,0.7358969,0.75126415,0.7769923,0.78018904,22.895507521304097,19.922789894231837,15.208943500721691,23.543571593741156,10.009012143334237,11.892543774886658,12.834673333787446,14.232070100822588,70.08517750057216,17.671504201984433,0.01729365596438126,0.04026382460439489,0.014272924351236975,0.0,0,260.58792,1733.3926,252.5242,2.3628519,106.87263340650216,647799.1,5519.6807,1136.1365,0.989829991159628,0.008434011797890209,0.0017360041303216157,0.03838740289211273,0.005870874505490065,172496_20201112_0330.wav,Leak
10.0,0.033501357,0.0071684406,0.070264965,-0.0023488374,0.034259666,0.070264965,9.06322505800464e-06,9.36411430529103e-05,0.0,0.0009765625,0.0,759.8949270625556,38.116566998315236,759.5808621359383,1292.7496289040107,669.3125078029502,1930.4691465160963,92.11229139450644,1927.2216796875,1018.3410890495346,66.61745103485285,1014.7042964904109,7.0644983e-06,0.00011866545,6.938981e-08,-416.8705,6.42572,-417.20624,-337.02948,-428.54144,228.7911,7.6765766,229.32014,241.75757,115.83293,-84.359505,5.3398776,-84.71926,-6.8202276,-91.801895,22.01651,3.3520536,22.046898,33.675247,5.697774,35.201496,3.3531003,35.505547,42.351433,11.877295,-33.444904,4.144574,-33.831776,12.890306,-41.304413,26.178627,3.0923731,25.994698,36.56733,12.949724,13.217834,2.8984165,13.1577,24.771555,4.4224887,-17.643356,3.1308026,-17.795914,2.3469753,-26.887863,23.450518,2.956108,23.42908,31.500866,10.186884,2.225154,2.7887838,2.1896567,12.895912,-6.969508,-9.506512,2.8657737,-9.443873,6.3192997,-15.971655,20.844135,3.1103747,21.015574,29.573242,11.3863325,-0.9192941,3.098853,-1.0540751,10.1491585,-11.575067,-1.225418,3.0571408,-1.4314103,9.118217,-9.39934,17.797081,2.9747407,17.784798,26.344322,7.385026,-4.5788865,2.805163,-4.629672,7.2288275,-12.665237,1.5425159,2.654692,1.3992794,8.203016,-6.306795,12.402411,2.6996987,12.364536,21.529827,3.6550038,-6.324294,2.7192209,-6.4264026,3.2043228,-15.300714,-0.07569657,1.2036,0.12025025,1.3760006,-0.09032064,0.9972912,-0.00486717,0.58056253,0.004895843,0.6154139,0.7538393,0.14984524,0.7515844,0.7751649,0.7320476,0.75142205,0.76508856,0.73059976,0.7182328,0.7459529,0.75771976,0.7609122,0.75876653,0.7712767,0.77888817,22.98297256284357,19.989026558738146,15.196101663036984,23.92694428331881,9.771875117979992,12.030745891358702,12.815650492054928,14.128518039735413,70.25073612110016,17.956337994356986,0.017526522660802412,0.03622386900528153,0.015453150191185545,117.45383522727273,1,258.80627,1724.1907,250.92467,2.3764899,105.58625546960172,643629.94,5689.126,1121.3052,0.9895294976115219,0.008746575697368877,0.0017239169320958125,-0.0015578556340187788,0.05468495562672615,172496_20201112_0345.wav,Leak
10.0,0.03355378,0.008508832,0.068487585,0.00043722842,0.034615837,0.068487585,0.0,0.0,0.0,0.0,0.0,740.694750517179,46.863341648904346,738.2124620440118,1395.9425371188322,647.3946406275031,1896.2208617314386,107.73060362801891,1894.921875,1010.1824273226268,75.66004477417846,1005.2241988263464,9.534631e-06,0.00015537324,6.8722855e-08,-411.0688,7.2575355,-411.6518,-307.60217,-420.3793,224.54216,7.704482,225.09946,233.04816,111.63667,-79.2266,5.489519,-79.58786,-2.730015,-87.90159,22.515621,2.8645198,22.43303,32.3835,14.577715,35.592144,3.3464813,35.686607,44.36313,7.0515127,-31.295355,3.6683784,-31.51326,10.217171,-38.910988,26.004633,2.9971704,26.011263,33.739235,9.365773,14.410779,2.8744752,14.532616,24.676006,5.9551888,-15.827035,3.2240915,-15.881203,4.312211,-23.724804,23.374012,2.9744425,23.419111,30.640919,10.136814,3.3951678,2.9356465,3.4264386,11.521376,-5.888643,-8.150094,2.8787756,-8.130871,4.777144,-16.560524,21.28425,3.0616035,21.294235,28.805347,4.3812733,0.49261987,2.985089,0.4953697,9.039535,-9.981039,-0.74679554,2.9479465,-0.6421741,7.93311,-9.60615,17.453093,2.721892,17.54746,23.719788,6.6652737,-3.9510467,2.7633116,-4.06308,4.937003,-11.28935,1.4356349,2.8152583,1.3922157,8.445777,-5.918399,12.266019,2.849952,12.202242,22.010307,2.7442617,-5.50984,2.9575763,-5.5303497,4.1344213,-12.660341,-0.1078659,1.3012856,0.12718162,1.4262697,-0.096790634,1.0749421,-0.014528759,0.49909556,0.024188517,0.57812095,0.75304884,0.15070362,0.749373,0.7809472,0.7708617,0.8372279,0.8329367,0.7747186,0.737202,0.7009909,0.6888093,0.7001259,0.70486754,0.7373691,0.7705288,22.802217648638837,19.89307767402978,15.267451410653258,23.382456326357197,10.150444331363493,12.105627014602032,12.926453138342637,14.059948344436796,69.97789598933531,17.012698396034402,0.010957268298686736,0.05082958921812838,0.0043870693420910885,0.0,0,264.21548,1746.4761,254.3757,2.6257694,96.87663514797978,652652.44,5681.2505,1132.9502,0.9896671230329509,0.008614917378542468,0.0017179795798043605,-0.001245299237780273,-0.01568835787475109,172496_20201112_0400.wav,Leak
10.0,0.033515014,0.0076498794,0.06926142,0.0032765302,0.034376983,0.06926142,0.0,0.0,0.0,0.0,0.0,753.627402161613,40.37433549849338,753.3816083318891,1293.3295305986107,651.6927026741175,1922.650245613399,98.35442888012926,1927.2216796875,1016.59096607375,64.76561316744711,1012.9679701480287,7.395834e-06,0.00012111527,6.961687e-08,-414.91168,6.1154532,-415.48206,-342.33334,-423.096,226.79068,7.183384,227.32225,234.6662,122.81647,-82.40732,5.1421666,-82.959015,-8.05212,-89.91445,22.380642,2.9824286,22.452477,33.911743,11.918311,35.59049,3.6758184,35.714687,50.105934,7.3721857,-32.42378,3.963924,-32.678753,10.494766,-40.466496,25.967571,3.0281115,25.895462,34.45747,13.534502,13.090258,2.8807936,13.226646,21.390472,5.1762304,-17.683199,3.072088,-17.729467,5.232995,-25.309166,22.86068,2.9238,22.997593,30.246655,10.117105,2.3694992,2.9158723,2.3086646,13.278744,-5.7524858,-9.224044,2.8405077,-9.293323,1.8920645,-18.339184,20.771082,2.9143622,20.820896,28.722801,7.708461,-0.5111212,2.8922734,-0.47788334,8.86532,-9.764767,-1.2802556,2.8805325,-1.3458143,6.483742,-11.770975,17.195002,2.734763,17.180511,25.675106,7.5380754,-4.65032,2.7581031,-4.7058954,3.8201609,-13.461047,1.4817662,2.7779493,1.5386459,8.694365,-6.6090746,12.532128,3.0622027,12.558929,20.507355,-2.197412,-5.5010643,3.0044284,-5.322474,3.435254,-14.50354,-0.059801973,1.1465226,0.094898075,1.2899543,-0.073109865,0.87410396,0.010162019,0.4963655,0.022341846,0.6676147,0.7571299,0.14438008,0.75125575,0.7770684,0.74230856,0.77880377,0.7901372,0.77759933,0.76129407,0.73012525,0.71420616,0.7267589,0.72490215,0.7708347,0.7915207,23.07632015967182,19.922470941264677,15.206331060667862,23.857014812113608,10.17596397170194,12.14039269120979,12.927170217204537,14.004924269745588,70.17741997151522,18.251355184212084,0.008970033973966965,0.037833083817356686,0.005008925826828792,117.45383522727273,1,260.58182,1731.3292,252.3461,2.4007797,105.11005958090824,646825.44,5524.427,1126.63,0.9898220326209127,0.008453902715418992,0.0017240558840031926,0.0327698290348053,0.05146593973040581,172496_20201112_0415.wav,Leak
10.0,0.033540934,0.0075875446,0.06989925,-0.00028510764,0.03438844,0.06989925,9.06322505800464e-06,9.36411430529103e-05,0.0,0.0009765625,0.0,751.7077461381797,45.49072438731636,751.7985729390741,1376.5158084762252,659.2045004465149,1918.053831025232,99.5708876325974,1916.455078125,1015.2340942558434,65.71374871934269,1011.807702181264,8.253446e-06,0.00014700573,6.885157e-08,-413.53375,5.261201,-413.88196,-345.65405,-423.00992,224.28407,6.9874144,224.91013,232.50935,117.896286,-81.04815,4.9057326,-81.311615,-16.208351,-90.40584,21.72814,3.234873,21.673882,41.395687,12.645605,34.80269,3.0289962,34.78608,42.412567,13.64803,-32.29348,3.9365222,-32.497223,13.944481,-41.12551,25.280832,3.1631644,25.248028,33.42747,12.762072,13.052063,2.9898381,13.13563,20.001638,3.5188098,-17.102322,3.2200327,-17.027815,2.0684323,-24.736935,22.886093,2.9314764,23.025085,32.371918,10.030245,3.022859,2.922816,2.9387298,11.791738,-7.33295,-8.354132,3.0936878,-8.619928,6.440813,-18.840748,20.749918,3.0784671,20.769493,30.252949,8.943855,-0.679126,2.9972384,-0.56907964,10.640629,-11.761955,-1.4403685,2.8338223,-1.462055,6.8131523,-11.079372,17.061102,2.8032992,17.098032,25.421494,3.7641783,-4.4305234,2.8017795,-4.4911375,5.528679,-12.001268,1.5467354,2.613756,1.4756358,9.125907,-5.037625,12.394074,2.746374,12.503147,19.74202,-5.736887,-5.8236985,2.3457458,-5.7485175,-0.021834984,-12.396233,-0.09106539,0.946455,0.124543585,1.2968822,-0.06601067,0.92364717,0.024163296,0.57117134,0.02829686,0.5107186,0.7617527,0.14412397,0.7581123,0.79053134,0.7674571,0.8027169,0.7878424,0.7622083,0.74764764,0.74264944,0.7356297,0.7418404,0.7375447,0.7416519,0.7833128,22.904590225925762,19.960397679534953,15.19604130713732,23.88143223063575,9.792400325673366,11.780896859286475,12.715145088689006,14.302194278175955,70.10575723939517,17.754305559624594,0.008374937565898724,0.041061074603265794,0.006017416715621778,117.45383522727273,1,260.75555,1732.7119,252.59915,2.3945038,105.49122880467738,647505.1,5542.664,1116.8696,0.9898197462699329,0.008472887895679938,0.0017073217956391903,0.03964025899767876,0.04753900691866875,172496_20201112_0430.wav,Leak
10.0,0.038686387,0.036255382,0.48753995,-0.43659693,0.049361274,0.48753995,0.0031392745794663573,0.0057011623172779895,0.0,0.02587890625,0.0,688.5653900303547,111.5532064901173,730.6622514409661,1094.3149506700702,278.08821161926875,1728.7514954321346,334.053356907918,1862.6220703125,962.2148527909842,114.52292792374149,997.3167935144431,5.4562374e-06,9.3347335e-05,6.623496e-08,-336.5009,15.8533745,-341.7089,-222.36993,-351.88095,146.57202,17.45207,140.15787,261.71277,131.10101,-25.172943,8.910522,-28.29185,16.20084,-36.082386,10.401988,5.484625,9.24941,29.500248,-24.986197,22.735403,4.5208883,22.179321,39.02993,0.4557543,-8.093367,4.8408675,-8.949216,8.565832,-18.297194,16.197197,5.1493964,14.817486,32.98394,7.354067,12.703145,4.729824,11.648897,32.861618,2.877925,-4.0358396,3.6736898,-4.1962695,5.743536,-15.234543,12.193751,3.416614,12.07082,22.86446,3.0696187,4.942899,3.257994,5.0714097,14.0468445,-3.5789578,-1.03543,3.0618439,-1.1301409,7.2900057,-10.134247,13.898974,3.4544926,13.865047,23.31129,5.241722,5.644443,3.6852014,5.4055376,18.526253,-3.6027474,1.8669072,3.077168,1.5307819,12.357531,-5.758892,9.77961,3.3461227,9.676803,21.502762,-2.4680164,0.057006765,3.432394,0.2447119,9.879721,-10.506884,1.0506457,3.4103553,1.1638293,10.103546,-11.329277,8.149273,3.0900533,8.385422,16.689854,-2.9041853,-0.05162861,2.9402268,-0.025745034,7.5835667,-10.2142315,-0.06696667,1.8205,-0.033035148,2.0249372,-0.034655023,0.7118738,-0.014166218,0.7503305,0.028813567,0.738888,0.6865413,0.23428021,0.71801335,0.6913295,0.69499713,0.7656737,0.7998003,0.80380213,0.8081236,0.69765633,0.6084409,0.5857742,0.58540577,0.5876574,0.60983527,21.186638717713713,17.55165098409873,13.636974552173864,22.69368913519105,10.106141667110375,12.608395898644728,13.52172897091422,14.392438264115475,62.61417888181401,12.369898206206141,0.025813538366129637,0.04737394448748327,0.022872056812047258,129.19921875,2,537.25604,2565.0,391.8244,56.656338,6.915808848543342,1053822.9,23751.723,1120.5591,0.9769422801461164,0.022018939462853326,0.0010388098138769748,0.07752764970064163,41.91129684448242,172496_20201113_0330.wav,Leak
10.0,0.033501036,0.007253187,0.063382015,-0.0010833488,0.034277216,0.063382015,9.06322505800464e-06,9.36411430529103e-05,0.0,0.0009765625,0.0,753.6599840497222,39.74635065545785,751.4378920900127,1297.4861928819364,670.1072775605372,1921.9258107054814,92.76538704035931,1916.455078125,1017.0805473291581,65.77494421034729,1012.8717913870379,6.988578e-06,0.00011465184,6.87178e-08,-417.89807,6.2301917,-418.36078,-338.64294,-426.51382,228.89903,7.443073,229.26244,237.1564,118.09127,-84.18165,5.3555613,-84.70303,-9.516578,-95.11258,22.732763,2.9425492,22.653698,36.104572,13.80077,36.257446,3.311514,36.26214,45.98055,13.473587,-32.698326,4.1495132,-32.930244,12.854738,-40.92948,26.646982,3.0694947,26.701185,33.673126,11.580856,13.548238,2.7706516,13.41898,24.248806,5.1907053,-17.678442,3.4524155,-17.754423,10.013024,-25.063599,23.557774,3.131111,23.46187,33.33494,9.407625,3.0646474,2.6259615,3.0771425,11.076918,-4.925349,-8.632513,2.7833548,-8.589137,4.286996,-15.48274,21.199446,3.0154934,21.15103,28.862513,4.28471,-0.71440715,2.9905422,-0.7556536,7.4247036,-8.789286,-1.34131,2.9017067,-1.4615381,8.418871,-9.871149,17.100597,2.7390811,17.22076,25.032372,8.063186,-5.018322,2.664056,-4.9688735,2.3289595,-13.68589,2.0739613,2.8267212,2.037197,9.291601,-5.4753313,13.4370775,2.9102855,13.517193,23.122396,3.7524729,-5.5803227,3.218538,-5.6750813,6.119325,-13.74194,-0.07792217,1.1303744,0.12346035,1.3913585,-0.0602567,0.9746012,0.014921426,0.5326413,0.010677424,0.5819969,0.76502985,0.14269793,0.7604562,0.8156285,0.7729825,0.77220136,0.77777654,0.7812209,0.78343964,0.76594037,0.76182353,0.75302345,0.7433173,0.7162784,0.7367255,23.005610126224212,19.909604417380336,15.273742559478038,23.675921805494404,10.204096836755797,11.987777838934338,12.923781535223597,14.150182741179348,70.11333687720301,17.984173248778973,0.014198415430068277,0.02988710059925451,0.014496528453438209,117.45383522727273,1,259.0715,1725.2142,250.95114,2.3570771,106.46708969882806,644320.0,5440.7256,1107.371,0.9899393982459963,0.00835918272374684,0.00170137533110826,-0.012321710586547852,-0.012986686080694199,172496_20201113_0345.wav,Leak
10.0,0.03948459,0.03484873,0.34499958,-0.28164548,0.048337843,0.34499958,0.006412231728538283,0.00779610745628156,0.001953125,0.029296875,0.0,670.6036080808022,112.50293583389573,696.9916056455535,1580.7939247351806,328.60113808729045,1620.585869525812,330.29877114217726,1679.58984375,928.1919843363258,131.89389763324027,953.482031758856,2.0629579e-05,0.0003659933,6.551973e-08,-339.06686,18.075117,-343.14783,-269.50815,-362.5541,167.60063,18.65789,163.07097,228.14067,112.03581,-33.983433,7.2054763,-35.606846,0.65634704,-46.98127,7.104681,4.7837896,7.467835,27.133436,-6.5839233,21.17744,4.173422,21.632786,30.868927,9.624973,-10.993464,4.733571,-11.72849,14.024416,-22.168652,21.559917,6.424796,20.611217,40.04087,8.930645,16.858908,5.817549,16.030678,31.605328,3.8264184,-4.174748,4.284118,-4.8947725,7.882366,-13.704847,13.498722,3.3278837,13.611414,22.278538,3.5285773,3.0637376,3.6612587,3.2530825,12.933329,-7.6029596,-2.9038913,3.5197723,-2.9463062,11.899176,-15.338055,17.096756,4.334077,16.710539,29.600986,7.716495,8.136089,4.932106,8.236393,24.924004,-2.7160323,3.4086664,3.9207923,3.3292906,17.666023,-8.134441,11.38733,3.5859907,11.273403,21.704609,1.0400895,-0.900183,3.6973662,-0.6286474,11.038439,-15.970871,1.0631833,3.2914667,1.3417593,9.045299,-15.218053,9.480512,3.056786,9.452433,18.427776,0.099460006,-0.69991976,3.1935768,-0.6553271,6.741172,-10.537875,-0.10658302,1.0928724,0.037731238,0.9862773,-0.05166781,0.7117291,-0.013242292,0.7099059,0.025070509,0.636722,0.6869991,0.20313516,0.69633865,0.8127846,0.751267,0.71522045,0.71684897,0.7565571,0.74357957,0.64878595,0.601874,0.60246253,0.6115852,0.60560966,0.6774137,22.280704777455103,18.606777712198287,14.820609808695679,22.461050889078322,10.172889833661207,12.91323290464274,14.455620262961657,14.835311216331066,66.39315178407968,14.733676551431031,0.00883027914449717,0.05545546946903101,0.012224800889315957,0.0,0,515.2086,2676.7017,411.89462,21.447914,19.204414024990665,1026343.94,20258.973,1141.9174,0.979574285677131,0.019335787880852193,0.001089881120533696,0.20883779227733612,12.151280403137207,172496_20201113_0400.wav,Leak
10.0,0.03398535,0.0148912575,0.13361864,-0.05453671,0.036649056,0.13361864,0.0024187481873549884,0.004609801638640893,0.0,0.0234375,0.0,729.0175092056933,56.74837767346258,736.1609024258618,947.1576480204373,487.6549388143355,1840.289490737384,124.29058727404617,1851.85546875,991.5756700918041,42.110924017383,991.0680852040487,1.8092271e-06,2.7689412e-05,6.977036e-08,-381.76602,3.0732112,-381.67914,-370.29922,-390.6575,193.63367,3.74005,193.8494,203.57437,151.23596,-59.773407,3.3398612,-59.86356,-34.08213,-70.11101,15.14699,3.2830095,14.954434,25.427792,6.2783804,30.060282,3.0401015,30.195683,37.673046,15.615728,-22.420214,3.1041586,-22.603657,2.0013673,-29.854504,21.333271,2.9607053,21.365887,28.46613,11.20981,13.295897,3.0540328,13.069944,21.514229,4.8467116,-13.034555,2.9556096,-13.050882,-2.8165383,-21.38868,16.759224,2.9832923,16.718351,24.47267,4.729203,3.0416133,2.9787502,2.8522835,11.341324,-4.9649935,-6.4965124,2.9402206,-6.4630513,2.2567,-15.157122,17.901785,2.7782636,17.975206,27.095194,10.324234,2.7984712,2.733731,2.9263506,12.23045,-5.5955067,-0.50293493,2.7437937,-0.6162385,10.053835,-7.978801,13.563289,2.7819452,13.4906845,22.627487,5.266391,-2.984302,2.797263,-3.0523334,4.867021,-11.485956,1.0737079,2.9232984,1.0734649,9.406069,-8.7944975,12.240835,2.8706872,12.200319,20.14645,4.0466166,-1.6486723,2.8962498,-1.7725291,6.8785033,-10.199402,-0.014101128,0.47190806,0.030077003,0.5906794,-0.026668316,0.54607904,-0.005592906,0.5525748,0.017562598,0.47775942,0.7319164,0.16239211,0.7277131,0.8536843,0.76732534,0.78874654,0.77013063,0.77183217,0.7684038,0.68023217,0.6651364,0.66512007,0.64718604,0.64753884,0.75766057,23.20248354078502,19.79220152820749,15.484545888911931,23.45792745429486,10.096024838165402,12.219252862532576,13.118399099490182,14.240620397617922,70.02280329871179,19.262356834682425,0.01943780943788867,0.034758159853116644,0.015939521103968533,117.45383522727273,1,296.1653,1876.2413,286.34515,2.6460617,108.21560141618878,703800.3,6559.246,1139.339,0.9891797966651737,0.009218912811000578,0.001601322263872606,0.00429536821320653,3.902527093887329,172496_20201113_0415.wav,Leak
10.0,0.03351089,0.00727912,0.065336205,0.0033396408,0.03429235,0.065336205,0.0,0.0,0.0,0.0,0.0,751.6594195144074,33.401642647622644,749.4318423448915,1178.7224297682667,677.2377525254313,1914.1318903168503,82.79398619705808,1905.6884765625,1013.7899982009625,55.069645574140345,1010.8392415950117,4.782421e-06,7.571673e-05,6.881869e-08,-417.40097,5.935698,-417.5711,-345.89285,-425.6683,230.0002,6.8553944,230.43045,237.42474,131.24062,-83.638954,4.9008408,-83.963264,-19.020988,-90.770935,22.96791,2.936844,22.94905,34.342514,14.90152,36.161465,3.3973005,36.230225,45.63247,8.854748,-32.930412,3.8730173,-33.22789,7.0778394,-40.28515,26.406025,2.7290597,26.602528,35.53682,16.566896,12.826363,2.7817924,12.823735,21.388649,4.430976,-18.826614,3.0320444,-18.898129,-0.56801486,-26.11845,22.534338,3.0002086,22.610521,29.326374,5.829852,2.1267152,2.934594,2.2517,12.096045,-6.0077753,-9.3982115,2.8746955,-9.638498,4.8213296,-17.919376,20.9038,2.9848795,21.03707,31.669022,6.847273,-0.97171205,3.002306,-0.79591525,7.7649713,-11.115335,-1.7097064,2.7638447,-2.0053637,7.7474847,-10.968027,17.0152,2.7695146,16.916937,25.947252,6.907735,-5.202529,2.7660866,-5.2268896,4.895485,-12.882191,1.6236724,2.750872,1.5309558,9.1369505,-6.5341115,13.506968,2.784017,13.579271,21.661465,0.087293625,-5.0915465,2.8844793,-5.453044,5.6789293,-14.559136,-0.066638514,1.0993674,0.08714845,1.2307515,-0.057908893,0.9215525,0.013564559,0.5027232,0.036072675,0.6243702,0.75740236,0.14489523,0.7496989,0.80465233,0.7572642,0.7806245,0.7825822,0.7921918,0.79370713,0.7526267,0.7238302,0.731526,0.73694277,0.71563053,0.71725017,22.999903215773443,19.928579206050436,15.081645082944782,23.61620032757765,10.001477200292728,12.23908943579894,12.636759652741864,14.031503024926389,70.1553982248705,18.31889464420604,0.015155829410654211,0.034117289749202015,0.013714355844563842,117.45383522727273,1,259.30035,1726.3488,251.20148,2.3879797,105.19414055971517,644772.4,5532.403,1107.859,0.9898063842407105,0.008492931545548798,0.0017007023908832935,-0.0010788695653900504,-0.020300336182117462,172496_20201113_0430.wav,Leak
