Feature,Votes
mfcc_9_min,4
mfcc_11_mean,4
spectral_centroid_mean,3
spectral_centroid_median,3
mfcc_9_mean,3
mfcc_9_median,3
mfcc_9_max,3
mfcc_10_median,3
mfcc_10_max,3
mfcc_11_median,3
mfcc_20_mean,3
mfcc_20_median,3
chroma_1_mean,3
chroma_7_mean,3
chroma_8_mean,3
chroma_12_mean,3
spectral_contrast_band_3_mean,3
mfcc_5_mean,3
mfcc_5_median,3
spectral_contrast_band_4_mean,3
mfcc_10_mean,2
chroma_9_mean,2
tonnetz_std,2
mid_freq_energy,2
mfcc_4_mean,2
mfcc_5_max,2
mfcc_5_min,2
mfcc_6_mean,2
mfcc_6_median,2
spectral_contrast_band_5_mean,2
